"respondent_id","h1n1_vaccine","seasonal_vaccine"
26707,0.26275,0.2065
26708,0,0
26709,0.905625,0.914375
26710,0.759875,0.96475
26711,0.613,0.571375
26712,0.95425,0.974125
26713,0.664375,0.631375
26714,0.189375,0.07125
26715,0,0.02525
26716,0.20625,0.93875
26717,0.049875,0.377625
26718,0.51275,0.4705
26719,0.283625,0.9635
26720,0.03475,0.2455
26721,0.774375,0.661375
26722,0.0055,0.02525
26723,0.953875,0.98925
26724,0.174625,0.97925
26725,0.008,0
26726,0.0065,0.015375
26727,0.614875,0.954125
26728,0.40375,0.395375
26729,0.273375,0.194125
26730,0.023,0.137375
26731,0.00425,0.098875
26732,0.448375,0.243625
26733,1,1
26734,0.964875,0.54675
26735,0.1415,0.42975
26736,0.010875,0.031125
26737,0.03925,0.061375
26738,0.95925,0.9545
26739,0.044375,0.09575
26740,0.2745,0.041
26741,0.57575,0.964
26742,0.02475,0.11275
26743,0.016625,0.38625
26744,0.17825,0.725375
26745,0.458625,0.97425
26746,0.035375,0.06625
26747,0.01975,0.075625
26748,0.33575,0.0205
26749,0.147625,0.505875
26750,0.943625,0.994875
26751,0.89275,0.82125
26752,0.00875,0.020875
26753,0.391125,0.76025
26754,0.31325,0.41025
26755,0.04475,0.435875
26756,0,0
26757,0.91175,0.79875
26758,0.822375,0.88325
26759,0.001125,0.005125
26760,0.004375,0.030375
26761,0.539625,0.901875
26762,0.21325,0.677
26763,0.995625,0.98975
26764,1,0.999625
26765,0.43975,0.611875
26766,0.33075,0.04575
26767,0.98475,0.909375
26768,0.143875,0.5445
26769,0.355375,0.2405
26770,0.533,0.722
26771,0.00975,0.20275
26772,0.055375,0.33325
26773,0.128,0.434125
26774,0.08375,0.268375
26775,0.0555,0.389375
26776,0.926,0.726125
26777,0.254375,0.892375
26778,0.35,0.021125
26779,0.199,0.68
26780,0.636875,0.984375
26781,0.282,0.53675
26782,0.013125,0.208
26783,0.00775,0.055375
26784,0.5595,0.80625
26785,0.667625,0.65925
26786,0.324125,0.066625
26787,0.067625,0.708125
26788,0.24825,0.932625
26789,0.08075,0.277625
26790,0.0045,0.015125
26791,0.0035,0.029875
26792,0.570375,0.766375
26793,0.368375,0.9945
26794,0.993375,0.939
26795,0.253,0.878
26796,0,0.005125
26797,0.50525,0.81075
26798,0.623125,0.12725
26799,0.845125,0.6415
26800,0.1945,0.98975
26801,0.555875,0.45425
26802,0.019375,0.082
26803,0.00775,0.0455
26804,0.00775,0.030375
26805,0.05125,0.200375
26806,0.190375,0.973875
26807,0.93325,0.97475
26808,0.4735,0.486125
26809,0.938375,0.470875
26810,0.00775,0.01075
26811,0.008875,0.055875
26812,0.186125,0.781375
26813,0.619375,0.59125
26814,0.021375,0.693125
26815,0,0.000125
26816,0.23,0.112625
26817,0.773375,0.93975
26818,0.086625,0.1815
26819,0.809375,0.55975
26820,0.034875,0.06075
26821,0.083125,0.479375
26822,0.502375,0.776125
26823,0.6255,0.49325
26824,0.070375,0.6825
26825,0.597625,0.766
26826,0.08275,0.753625
26827,0.032125,0.058125
26828,0.9405,0.959125
26829,0.882875,1
26830,0.063,0.806625
26831,0.353375,0.85225
26832,0.55125,0.928125
26833,0.031125,0.553375
26834,0.62225,0.728125
26835,0.7655,0.980125
26836,0.31575,0.769875
26837,0.402375,0.035375
26838,0.027625,0.488125
26839,0.458625,0.340375
26840,0.006875,0.005
26841,0.725,0.902875
26842,0.002125,0
26843,0.00775,0.01525
26844,0.07225,0.302
26845,0.163375,0.80225
26846,0.053,0.863375
26847,0.523375,0.149
26848,0.21675,0.81575
26849,0.579,0.549625
26850,0.925875,0.88375
26851,0,0
26852,0.001125,0
26853,0.77575,0.601
26854,0.005625,0.01525
26855,0.95925,0.954375
26856,0.33325,0.036375
26857,0.6645,0.2965
26858,0.329375,0.702125
26859,0.001125,0.014875
26860,0.36325,0.101625
26861,0.01,0.025
26862,0.059875,0.247875
26863,0.4475,0.4455
26864,0.560625,0.326875
26865,0,0
26866,0.384,0.75475
26867,0.019125,0.01
26868,0.949375,0.918875
26869,0.04,0.118375
26870,0.88125,0.95325
26871,0.010125,0.030125
26872,0.272125,0.444875
26873,0.54125,0.801125
26874,0.009125,0.0305
26875,0.9625,0.994875
26876,0.021375,0.005875
26877,0.00775,0.0505
26878,0.377625,0.159875
26879,0,0
26880,0.0375,0.12875
26881,0,0.015
26882,0.00225,0
26883,0.02075,0.122125
26884,0.7105,0.41225
26885,0.338875,0.56675
26886,0.10625,0.9595
26887,0.93425,0.954875
26888,1,1
26889,0,0
26890,0.3045,0.379625
26891,0.900375,0.857875
26892,0.284625,0.744
26893,0,0.005125
26894,0.41675,0.282
26895,0.128875,0.868625
26896,0.001125,0
26897,0.032625,0.4785
26898,0.456,0.639
26899,0.00125,0
26900,0.01975,0.036125
26901,0.039125,0.291875
26902,0.63275,0.969625
26903,0.636375,0.124
26904,0.01775,0.451625
26905,0.759875,0.927125
26906,0.006125,0.34125
26907,0.03325,0.490375
26908,0.737125,0.995125
26909,0.44675,0.228
26910,0.438875,0.499875
26911,0.002125,0
26912,0.7695,0.98975
26913,0.985625,0.98475
26914,0.006875,0.040125
26915,0.69125,0.709625
26916,0.004625,0.03
26917,0.00875,0.005375
26918,0.996625,0.999875
26919,0.447,0.7045
26920,0,0.005
26921,0.316125,0.88325
26922,0.151375,0.831
26923,0.061125,0.5385
26924,1,0.999875
26925,0.1855,0.72075
26926,0.77725,0.652375
26927,0.822125,0.8835
26928,0.165375,0.516
26929,0.044125,0.198625
26930,0.965125,0.939
26931,0.044,0.116
26932,0.16525,0.984
26933,0.094625,0.494625
26934,0.948375,0.883875
26935,0.363,0.555
26936,0.790375,0.399625
26937,0.57925,0.923
26938,0.165375,0.04075
26939,0,0
26940,0.197875,0.1665
26941,0.030875,0.477125
26942,0.922,0.957875
26943,0.564125,0.756375
26944,0.0055,0.06075
26945,0.04025,0.65975
26946,0.43925,0.673875
26947,0.035625,0.508
26948,0.003375,0
26949,0.012125,0.0255
26950,0.125375,0.49475
26951,0.0055,0.229375
26952,0.99425,0.995
26953,0.965375,0.995
26954,0.002375,0.004875
26955,0.321875,0.838
26956,0.00425,0.045125
26957,0.171,0.934125
26958,0.506625,0.811875
26959,0.037375,0.20975
26960,0.03075,0.030625
26961,0.39675,0.56975
26962,0.516125,0.954125
26963,0.41125,0.38125
26964,0.023625,0.0395
26965,0.994625,0.99975
26966,0.006625,0.020375
26967,0.002125,0.1475
26968,0.138875,0.823125
26969,0.05825,0.132875
26970,0.96125,0.72325
26971,0.021,0.040375
26972,0.005375,5e-04
26973,0.019,0.225625
26974,0.293,0.38025
26975,0.0965,0.83075
26976,0.9635,0.538
26977,0.02525,0.417625
26978,0.05075,0.755625
26979,0.8985,0.873
26980,0.001125,0.02
26981,0.39025,0.443125
26982,0.9575,0.97
26983,0.058,0.5435
26984,0,0
26985,0.011125,0.0105
26986,0.171125,0.210125
26987,0.0035,0.000125
26988,0,0.00025
26989,0.626625,0.857875
26990,0.011875,0.0255
26991,0.68275,0.59875
26992,0.6505,0.55275
26993,0.210625,0.92925
26994,0.265125,0.333375
26995,0.676,0.620625
26996,0.642375,0.5515
26997,0,0
26998,0.002125,0
26999,0.8545,0.679
27000,0.033,0.3955
27001,0.14325,0.82575
27002,0.02575,0.208125
27003,0.005625,0.029875
27004,0.003,0.01525
27005,0.942625,0.886125
27006,0.9685,0.964
27007,0.014875,0.182375
27008,0.266,0.051125
27009,0.010125,0.395125
27010,0.00225,0
27011,0.226375,0.22525
27012,0.64375,0.566125
27013,0.02425,0.4825
27014,0.030375,0.19925
27015,0,0.00025
27016,0.238375,0.328375
27017,0.865875,0.90875
27018,0.014125,0.255125
27019,0.994625,1
27020,0.562875,0.45975
27021,0.252625,0.56625
27022,0.353375,0.09175
27023,0.32975,0.155875
27024,0.05525,0.3435
27025,0.272375,0.026
27026,0.05375,0.498875
27027,0.082625,0.863
27028,0.548625,0.9745
27029,0.14225,0.120375
27030,0.50825,0.524125
27031,0.581125,0.917125
27032,0.48325,0.54125
27033,0.526375,0.7745
27034,0.104125,0.71925
27035,0.008875,0.015125
27036,0.123625,0.83125
27037,0.98775,0.8845
27038,0,0
27039,0.988,0.995
27040,0.514375,0.358125
27041,0.042125,0.7365
27042,0.176625,0.499875
27043,0.637125,0.685125
27044,0,0.000125
27045,0.14525,0.475375
27046,0.001125,0.005
27047,0.98025,0.833
27048,0.40525,0.72925
27049,0.647,0.847625
27050,0.009875,0.5285
27051,0.001,0.030125
27052,0.0455,0.163875
27053,0.9815,0.994625
27054,0,0
27055,0.41875,0.938625
27056,0.005125,0.00075
27057,0.003125,0
27058,0.999,1
27059,0.01425,0.076375
27060,0.003125,0.18375
27061,0.67375,0.869375
27062,0.10675,0.42925
27063,0.154625,0.48975
27064,0.575,0.68475
27065,0.064375,0.27825
27066,0.09225,0.51025
27067,0.873125,0.89425
27068,1,0.995125
27069,0.807875,0.995125
27070,0.001125,0
27071,0.004625,0.005875
27072,0.37775,0.759125
27073,0.085,0.96275
27074,0.023125,0.025125
27075,0.9945,0.97975
27076,0.951125,0.80525
27077,0.001,0.040375
27078,0.435875,0.83175
27079,0.783125,0.97975
27080,0.024125,0.1215
27081,0.142125,0.851125
27082,0.254875,0.19825
